경도,위도,원격제어,관리기관1,관리기관2,보호대상구분,보호대상물,설치년도,시도,시군구,상세주소
127.0134,37.47578,불가능,서울특별시,서초구,문화재,대성사,2012,서울특별시,서초구,서초동 산140-1
127.099387,37.553812,가능,서울특별시,광진구,주요기반시설,주거밀집지,2013,서울특별시,광진구,구의동 3-3
127.097098,37.561146,가능,서울특별시,광진구,주요기반시설,주거밀집지,2013,서울특별시,광진구,중곡동 143-127
126.97736,37.46685,가능,서울특별시,관악구,문화재,관음사,2018,서울특별시,관악구,남현동 499
126.98319792477926,37.59698801,불가능,서울특별시,성북구,공원,북악산,2020,서울특별시,성북구,성북동 산26-1
129.136,35.18315,불가능,부산광역시,해운대구,공원,재송소공원,2012,부산광역시,해운대구,재송동 산74-1
129.00124,35.16871,불가능,부산광역시,사상구,학교,신라대학교,2012,부산광역시,사상구,괘법동 산1-25
129.12287,35.10826,불가능,부산광역시,남구,주요기반시설,53사단,2014,부산광역시,남구,용호동 산190-3번지 외 3필지
129.23237,35.37543,불가능,부산광역시,기장군,문화재,장안사,2015,부산광역시,기장군,장안읍 장안리 591
129.06674,35.2878,불가능,부산광역시,금정구,문화재,범어사,2017,부산광역시,금정구,범어사로 205
129.02666,35.17565,불가능,부산광역시,부산진구,문화재,선암사,2018,부산광역시,부산진구,부암3동 628
129.2225,35.1884,가능,부산광역시,기장군,문화재,해동용궁사,2018,부산광역시,기장군,기장급 시랑리 416-3
129.050858,35.190169,가능,부산광역시,연제구,주요기반시설,국가기록원,2020,부산광역시,연제구,거제동 1400-4
128.53772,35.77072,불가능,대구광역시,달성군,휴양림,화원자연휴양림,2012,대구광역시,달성군,화원읍 본리리 산127-1
128.37118,35.69965,가능,대구광역시,달성군,문화재,도동서원,2017,대구광역시,달성군,구지면 도동리 35
128.41691,35.9119,가능,대구광역시,달성군,문화재,태고정,2018,대구광역시,달성군,하빈면 묘리 638
127.48346058,36.0098994,불가능,대전광역시,동구,주요기반시설,민군송신중계시설,2012,대전광역시,동구,세천동 산43-3
127.35971,36.32259,불가능,대전광역시,서구,문화재,내원사,2014,대전광역시,서구,도마2동 424-1
127.29069,36.36552,가능,대전광역시,유성구,주요기반시설,국립현충원,2015,대전광역시,유성구,현충원로 251
129.27686,35.57697,불가능,울산광역시,중구,휴양림,입화산산림욕장,2015,울산광역시,중구,다운동 산47-1
127.34763,36.52776,불가능,세종특별자치시,세종시,문화재,황룡사,2014,세종특별자치시,,연동면 명학리 230
127.30255,36.5228,가능,세종특별자치시,세종시,주요기반시설,국토지리정보원,2015,세종특별자치시,,연기면 세종리 산182
127.22759,36.47348,가능,세종특별자치시,세종시,문화재,영평사,2016,세종특별자치시,,장군면 산학리 444
127.19209,36.61139,가능,세종특별자치시,세종시,문화재,비암사,2017,세종특별자치시,,전의면 다방리 4
127.19181,36.64041,가능,세종특별자치시,세종시,문화재,청안사,2021,세종특별자치시,,전의면 양곡리 33-1
127.30019,36.43626,가능,세종특별자치시,세종시,문화재,송림사,2021,세종특별자치시,,금남면 축산리 273-1
127.51916,37.51659,불가능,경기도,양평군,휴양림,용문산자연휴양림,2013,경기도,양평군,양평읍 약수사길 78-14
